𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	
𝗪	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	87	𝗪	
𝗪	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	86	87	𝗪	
𝗪	85	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	85	86	87	𝗪	
𝗪	85	84	83	83	83	83	83	83	83	83	83	83	83	83	83	83	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	82	82	82	82	82	82	82	82	82	82	82	82	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	81	81	81	81	81	81	81	81	81	81	81	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	80	80	80	80	80	80	80	80	80	80	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	79	79	79	79	79	79	79	79	79	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	78	78	78	78	78	78	78	78	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	77	77	77	77	77	77	77	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	76	76	76	76	76	76	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	75	75	75	75	75	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	76	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	74	74	74	74	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	75	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	75	76	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	73	73	73	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	75	74	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	72	72	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	75	74	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	71	𝗪	104	103	102	101	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	𝗪	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	𝗪	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	𝗪	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	𝗪	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	𝗪	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	𝗪	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	𝗪	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	𝗪	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	𝗪	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	𝗪	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	𝗪	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
𝗪	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	𝗪	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	59	60	61	62	63	64	65	66	67	68	69	70	𝗪	
